date,healthcare gov,healthcare administration,healthcare gov login,healthcare administration jobs,healthcare management,isPartial
2016-01-17,5,15,0,4,29,False
2016-01-24,8,19,0,5,30,False
2016-01-31,7,14,0,3,30,False
2016-02-07,3,15,0,4,32,False
2016-02-14,2,15,0,3,27,False
2016-02-21,3,13,0,3,27,False
2016-02-28,3,12,0,4,27,False
2016-03-06,2,13,0,3,29,False
2016-03-13,3,16,0,4,30,False
2016-03-20,2,12,0,4,29,False
2016-03-27,3,15,0,4,29,False
2016-04-03,3,17,0,5,29,False
2016-04-10,3,14,0,4,31,False
2016-04-17,3,13,0,4,28,False
2016-04-24,1,13,0,4,26,False
2016-05-01,2,18,0,6,29,False
2016-05-08,2,17,0,5,33,False
2016-05-15,2,16,0,5,31,False
2016-05-22,3,13,0,3,32,False
2016-05-29,2,15,0,4,26,False
2016-06-05,2,17,0,4,29,False
2016-06-12,2,17,0,6,25,False
2016-06-19,3,11,0,2,28,False
2016-06-26,2,14,0,3,24,False
2016-07-03,1,13,0,4,25,False
2016-07-10,3,12,0,3,25,False
2016-07-17,2,13,0,4,23,False
2016-07-24,2,13,0,5,26,False
2016-07-31,2,15,0,4,29,False
2016-08-07,2,14,0,3,23,False
2016-08-14,2,14,0,4,25,False
2016-08-21,2,15,0,5,27,False
2016-08-28,1,18,0,4,25,False
2016-09-04,1,19,0,4,28,False
2016-09-11,2,19,0,4,32,False
2016-09-18,2,17,0,4,30,False
2016-09-25,2,17,0,3,29,False
2016-10-02,2,15,0,4,30,False
2016-10-09,2,17,0,5,27,False
2016-10-16,2,15,0,4,28,False
2016-10-23,2,16,0,3,27,False
2016-10-30,5,18,0,5,34,False
2016-11-06,5,15,0,3,30,False
2016-11-13,4,17,0,5,28,False
2016-11-20,3,11,0,3,21,False
2016-11-27,6,15,0,4,29,False
2016-12-04,4,16,0,4,29,False
2016-12-11,11,15,0,4,27,False
2016-12-18,3,11,0,3,24,False
2016-12-25,3,11,0,3,18,False
2017-01-01,3,15,0,5,31,False
2017-01-08,3,20,0,6,28,False
2017-01-15,3,20,1,4,30,False
2017-01-22,4,17,0,5,32,False
2017-01-29,5,15,0,4,32,False
2017-02-05,2,17,0,4,38,False
2017-02-12,1,14,0,3,28,False
2017-02-19,2,15,0,4,33,False
2017-02-26,2,15,0,3,33,False
2017-03-05,3,16,0,4,31,False
2017-03-12,1,17,0,4,32,False
2017-03-19,2,17,0,4,34,False
2017-03-26,2,15,0,4,31,False
2017-04-02,2,16,0,4,33,False
2017-04-09,3,17,0,5,30,False
2017-04-16,2,17,0,5,32,False
2017-04-23,2,16,0,5,31,False
2017-04-30,2,18,0,4,33,False
2017-05-07,1,16,0,4,32,False
2017-05-14,1,15,0,4,29,False
2017-05-21,2,15,0,4,25,False
2017-05-28,2,14,0,4,30,False
2017-06-04,2,17,0,5,33,False
2017-06-11,2,16,0,3,31,False
2017-06-18,1,16,0,4,30,False
2017-06-25,2,16,0,5,28,False
2017-07-02,1,13,0,4,26,False
2017-07-09,1,17,0,5,34,False
2017-07-16,2,17,0,5,31,False
2017-07-23,2,18,0,4,33,False
2017-07-30,3,16,0,5,33,False
2017-08-06,2,18,0,6,30,False
2017-08-13,2,16,0,5,29,False
2017-08-20,2,17,0,6,27,False
2017-08-27,2,19,0,5,29,False
2017-09-03,1,14,0,4,34,False
2017-09-10,3,17,0,5,35,False
2017-09-17,4,19,0,4,34,False
2017-09-24,2,18,0,5,35,False
2017-10-01,1,16,0,5,34,False
2017-10-08,3,17,0,4,34,False
2017-10-15,4,17,0,5,33,False
2017-10-22,9,19,0,5,32,False
2017-10-29,70,17,1,4,32,False
2017-11-05,80,15,1,4,33,False
2017-11-12,53,16,1,4,33,False
2017-11-19,17,14,0,3,26,False
2017-11-26,8,15,0,4,31,False
2017-12-03,6,15,0,4,31,False
2017-12-10,100,17,2,6,33,False
2017-12-17,17,15,1,4,27,False
2017-12-24,18,12,1,4,23,False
2017-12-31,17,15,0,4,30,False
2018-01-07,10,21,0,7,35,False
2018-01-14,12,16,1,4,31,False
2018-01-21,12,10,0,4,21,True
