date,health,health insurance,health net,health equity,health savings account,isPartial
2014-07-13,78,5,0,0,0,False
2014-07-20,78,5,0,0,0,False
2014-07-27,79,5,0,0,0,False
2014-08-03,79,5,0,0,0,False
2014-08-10,77,5,0,0,0,False
2014-08-17,80,5,0,0,0,False
2014-08-24,79,4,0,0,0,False
2014-08-31,75,4,0,0,0,False
2014-09-07,83,5,0,0,0,False
2014-09-14,84,4,0,0,0,False
2014-09-21,86,4,0,0,0,False
2014-09-28,85,5,0,0,0,False
2014-10-05,85,5,0,0,0,False
2014-10-12,86,5,0,0,0,False
2014-10-19,86,5,0,0,0,False
2014-10-26,83,5,0,0,0,False
2014-11-02,86,5,0,0,0,False
2014-11-09,82,6,0,0,0,False
2014-11-16,85,6,0,0,0,False
2014-11-23,67,4,0,0,0,False
2014-11-30,82,6,0,0,0,False
2014-12-07,80,6,0,0,0,False
2014-12-14,73,5,0,0,0,False
2014-12-21,52,3,0,0,0,False
2014-12-28,66,5,0,0,0,False
2015-01-04,87,6,0,0,0,False
2015-01-11,84,6,0,0,0,False
2015-01-18,84,6,0,0,0,False
2015-01-25,85,6,0,0,0,False
2015-02-01,85,6,0,0,0,False
2015-02-08,87,7,0,0,0,False
2015-02-15,85,6,0,0,0,False
2015-02-22,85,5,0,0,0,False
2015-03-01,83,5,0,0,0,False
2015-03-08,82,5,0,0,0,False
2015-03-15,82,5,0,0,0,False
2015-03-22,81,5,0,0,0,False
2015-03-29,78,5,0,0,0,False
2015-04-05,80,5,0,0,0,False
2015-04-12,83,5,0,0,0,False
2015-04-19,84,4,0,0,0,False
2015-04-26,82,5,0,0,0,False
2015-05-03,78,4,0,0,0,False
2015-05-10,78,4,0,0,0,False
2015-05-17,76,4,0,0,0,False
2015-05-24,75,4,0,0,0,False
2015-05-31,79,4,0,0,0,False
2015-06-07,75,4,0,0,0,False
2015-06-14,77,4,0,0,0,False
2015-06-21,79,5,0,0,0,False
2015-06-28,75,5,0,0,0,False
2015-07-05,78,5,0,0,0,False
2015-07-12,78,5,0,0,0,False
2015-07-19,76,5,0,0,0,False
2015-07-26,80,5,0,0,0,False
2015-08-02,77,5,0,0,0,False
2015-08-09,83,5,0,0,0,False
2015-08-16,81,5,0,0,0,False
2015-08-23,83,5,0,0,0,False
2015-08-30,81,5,0,0,0,False
2015-09-06,80,4,0,0,0,False
2015-09-13,84,4,0,0,0,False
2015-09-20,82,4,0,0,0,False
2015-09-27,81,5,0,0,0,False
2015-10-04,83,5,0,0,0,False
2015-10-11,86,5,0,0,0,False
2015-10-18,84,5,0,0,0,False
2015-10-25,83,6,0,0,0,False
2015-11-01,88,7,0,0,0,False
2015-11-08,84,6,0,0,0,False
2015-11-15,83,6,0,0,0,False
2015-11-22,69,4,0,0,0,False
2015-11-29,83,6,0,0,0,False
2015-12-06,82,6,0,0,0,False
2015-12-13,79,7,0,0,0,False
2015-12-20,56,4,0,0,0,False
2015-12-27,65,5,0,0,0,False
2016-01-03,86,6,0,0,0,False
2016-01-10,85,6,0,0,0,False
2016-01-17,83,6,0,0,0,False
2016-01-24,89,7,0,0,0,False
2016-01-31,90,7,0,0,0,False
2016-02-07,87,5,0,0,0,False
2016-02-14,85,5,0,0,0,False
2016-02-21,88,5,0,0,0,False
2016-02-28,86,5,0,0,0,False
2016-03-06,85,5,0,0,0,False
2016-03-13,83,5,0,0,0,False
2016-03-20,80,5,0,0,0,False
2016-03-27,85,5,0,0,0,False
2016-04-03,86,5,0,0,0,False
2016-04-10,87,5,0,0,0,False
2016-04-17,87,5,0,0,0,False
2016-04-24,84,4,0,0,0,False
2016-05-01,84,5,0,0,0,False
2016-05-08,81,4,0,0,0,False
2016-05-15,81,5,0,0,0,False
2016-05-22,77,4,0,0,0,False
2016-05-29,73,4,0,0,0,False
2016-06-05,78,4,0,0,0,False
2016-06-12,79,4,0,0,0,False
2016-06-19,76,5,0,0,0,False
2016-06-26,77,5,0,0,0,False
2016-07-03,73,4,0,0,0,False
2016-07-10,77,5,0,0,0,False
2016-07-17,81,5,0,0,0,False
2016-07-24,80,5,0,0,0,False
2016-07-31,79,5,0,0,0,False
2016-08-07,79,5,0,0,0,False
2016-08-14,78,5,0,0,0,False
2016-08-21,83,5,0,0,0,False
2016-08-28,85,5,0,0,0,False
2016-09-04,81,5,0,0,0,False
2016-09-11,90,5,0,0,0,False
2016-09-18,84,5,0,0,0,False
2016-09-25,86,5,0,0,0,False
2016-10-02,83,5,0,0,0,False
2016-10-09,87,5,0,0,0,False
2016-10-16,87,5,0,0,0,False
2016-10-23,86,6,0,0,0,False
2016-10-30,89,7,0,0,0,False
2016-11-06,83,7,0,0,0,False
2016-11-13,87,6,0,0,0,False
2016-11-20,69,5,0,0,0,False
2016-11-27,85,6,0,0,0,False
2016-12-04,92,6,0,0,0,False
2016-12-11,79,7,0,0,0,False
2016-12-18,68,5,0,0,0,False
2016-12-25,64,5,0,0,0,False
2017-01-01,81,6,0,0,0,False
2017-01-08,92,6,0,0,0,False
2017-01-15,91,7,0,0,0,False
2017-01-22,92,7,0,0,0,False
2017-01-29,89,7,0,0,0,False
2017-02-05,90,6,0,0,0,False
2017-02-12,85,5,0,0,0,False
2017-02-19,87,5,0,0,0,False
2017-02-26,90,6,0,0,0,False
2017-03-05,93,6,0,0,0,False
2017-03-12,89,6,0,0,0,False
2017-03-19,96,6,0,0,0,False
2017-03-26,88,6,0,0,0,False
2017-04-02,88,6,0,0,0,False
2017-04-09,82,5,0,0,0,False
2017-04-16,84,5,0,0,0,False
2017-04-23,86,5,0,0,0,False
2017-04-30,92,6,0,0,0,False
2017-05-07,87,5,0,0,0,False
2017-05-14,82,5,0,0,0,False
2017-05-21,80,5,0,0,0,False
2017-05-28,76,5,0,0,0,False
2017-06-04,80,5,0,0,0,False
2017-06-11,84,5,0,0,0,False
2017-06-18,86,5,0,0,0,False
2017-06-25,84,6,0,0,0,False
2017-07-02,77,5,0,0,0,False
2017-07-09,87,5,0,0,0,False
2017-07-16,88,5,0,0,0,False
2017-07-23,89,6,0,0,0,False
2017-07-30,85,6,0,0,0,False
2017-08-06,85,6,0,0,0,False
2017-08-13,83,5,0,0,0,False
2017-08-20,80,5,0,0,0,False
2017-08-27,85,5,0,0,0,False
2017-09-03,79,5,0,0,0,False
2017-09-10,89,5,0,0,0,False
2017-09-17,88,5,0,0,0,False
2017-09-24,88,5,0,0,0,False
2017-10-01,88,6,0,0,0,False
2017-10-08,91,6,0,0,0,False
2017-10-15,88,6,0,0,0,False
2017-10-22,90,6,0,0,0,False
2017-10-29,89,7,0,0,0,False
2017-11-05,90,7,0,0,0,False
2017-11-12,92,7,0,0,0,False
2017-11-19,73,5,0,0,0,False
2017-11-26,87,7,0,0,0,False
2017-12-03,89,7,0,0,0,False
2017-12-10,85,8,0,0,0,False
2017-12-17,72,5,0,0,0,False
2017-12-24,62,4,0,0,0,False
2017-12-31,84,6,0,0,0,False
2018-01-07,91,6,0,0,0,False
2018-01-14,87,6,0,0,0,False
2018-01-21,62,4,0,0,0,True
