date,breaking news,breaking news near me,breaking news alaska earthquake,breaking news abc,breaking news app,isPartial
2014-03-16,51,0,0,1,0,False
2014-03-23,51,0,0,1,0,False
2014-03-30,44,0,0,0,0,False
2014-04-06,45,0,0,0,0,False
2014-04-13,42,0,0,0,0,False
2014-04-20,41,0,0,0,0,False
2014-04-27,41,0,0,0,0,False
2014-05-04,42,0,0,0,0,False
2014-05-11,50,0,0,0,0,False
2014-05-18,44,0,0,0,0,False
2014-05-25,44,0,0,0,0,False
2014-06-01,48,0,0,0,0,False
2014-06-08,42,0,0,0,0,False
2014-06-15,42,0,0,0,0,False
2014-06-22,42,0,0,0,0,False
2014-06-29,42,0,0,0,0,False
2014-07-06,46,0,0,0,0,False
2014-07-13,54,0,0,1,0,False
2014-07-20,51,0,0,0,0,False
2014-07-27,48,0,0,1,0,False
2014-08-03,45,0,0,1,0,False
2014-08-10,51,0,0,0,0,False
2014-08-17,48,0,0,1,0,False
2014-08-24,49,0,0,0,0,False
2014-08-31,46,0,0,0,0,False
2014-09-07,47,0,0,0,0,False
2014-09-14,44,0,0,0,0,False
2014-09-21,48,0,0,1,0,False
2014-09-28,45,0,0,0,0,False
2014-10-05,46,0,0,0,0,False
2014-10-12,46,0,0,0,0,False
2014-10-19,51,0,0,1,0,False
2014-10-26,44,0,0,0,0,False
2014-11-02,41,0,0,0,0,False
2014-11-09,42,0,0,0,0,False
2014-11-16,43,0,0,0,0,False
2014-11-23,46,0,0,0,0,False
2014-11-30,43,0,0,0,0,False
2014-12-07,43,0,0,0,0,False
2014-12-14,57,0,0,1,0,False
2014-12-21,41,0,0,0,0,False
2014-12-28,52,0,0,0,0,False
2015-01-04,56,0,0,0,0,False
2015-01-11,46,0,0,0,0,False
2015-01-18,44,0,0,0,0,False
2015-01-25,42,0,0,0,0,False
2015-02-01,45,0,0,0,0,False
2015-02-08,49,0,0,0,0,False
2015-02-15,44,0,0,0,0,False
2015-02-22,45,0,0,0,0,False
2015-03-01,43,0,0,0,0,False
2015-03-08,42,0,0,0,0,False
2015-03-15,43,0,0,0,0,False
2015-03-22,50,0,0,0,0,False
2015-03-29,51,0,0,1,0,False
2015-04-05,44,0,0,0,0,False
2015-04-12,47,0,0,0,0,False
2015-04-19,53,0,0,0,0,False
2015-04-26,59,0,0,1,0,False
2015-05-03,48,0,0,0,0,False
2015-05-10,56,0,0,0,0,False
2015-05-17,43,0,0,0,0,False
2015-05-24,46,0,0,0,0,False
2015-05-31,45,0,0,1,0,False
2015-06-07,46,0,0,0,0,False
2015-06-14,48,0,0,0,0,False
2015-06-21,52,0,0,1,0,False
2015-06-28,53,0,0,0,0,False
2015-07-05,52,0,0,0,0,False
2015-07-12,54,0,0,1,0,False
2015-07-19,51,0,0,1,0,False
2015-07-26,63,0,0,1,0,False
2015-08-02,50,0,0,0,0,False
2015-08-09,48,0,0,0,0,False
2015-08-16,52,0,0,0,0,False
2015-08-23,58,0,0,1,0,False
2015-08-30,50,0,0,0,0,False
2015-09-06,50,0,0,0,0,False
2015-09-13,53,0,0,1,0,False
2015-09-20,51,0,0,0,0,False
2015-09-27,54,0,0,1,0,False
2015-10-04,48,0,0,0,0,False
2015-10-11,51,0,0,0,0,False
2015-10-18,47,0,0,0,0,False
2015-10-25,56,0,0,0,0,False
2015-11-01,48,0,0,0,0,False
2015-11-08,66,0,0,0,0,False
2015-11-15,70,0,0,1,0,False
2015-11-22,57,0,0,1,0,False
2015-11-29,66,0,0,1,0,False
2015-12-06,52,0,0,1,0,False
2015-12-13,53,0,0,0,0,False
2015-12-20,50,0,0,0,0,False
2015-12-27,52,0,0,0,0,False
2016-01-03,52,0,0,0,0,False
2016-01-10,55,0,0,0,0,False
2016-01-17,50,0,0,0,0,False
2016-01-24,51,0,0,0,0,False
2016-01-31,49,0,0,1,0,False
2016-02-07,51,0,0,0,0,False
2016-02-14,53,0,0,1,0,False
2016-02-21,53,0,0,1,0,False
2016-02-28,51,0,0,0,0,False
2016-03-06,52,0,0,0,0,False
2016-03-13,51,0,0,0,0,False
2016-03-20,60,0,0,0,0,False
2016-03-27,56,0,0,1,0,False
2016-04-03,51,0,0,1,0,False
2016-04-10,51,0,0,1,0,False
2016-04-17,54,0,0,1,0,False
2016-04-24,54,0,0,0,0,False
2016-05-01,53,0,0,1,0,False
2016-05-08,52,0,0,0,0,False
2016-05-15,61,0,0,1,0,False
2016-05-22,53,0,0,0,0,False
2016-05-29,53,0,0,0,0,False
2016-06-05,58,0,0,1,0,False
2016-06-12,71,0,0,1,0,False
2016-06-19,65,0,0,0,0,False
2016-06-26,66,0,0,1,0,False
2016-07-03,79,0,0,1,0,False
2016-07-10,82,0,0,1,0,False
2016-07-17,81,0,0,1,0,False
2016-07-24,71,0,0,1,0,False
2016-07-31,69,0,0,1,0,False
2016-08-07,67,0,0,1,0,False
2016-08-14,72,0,0,1,0,False
2016-08-21,78,0,0,1,0,False
2016-08-28,72,0,0,1,0,False
2016-09-04,68,0,0,1,0,False
2016-09-11,71,0,0,1,0,False
2016-09-18,81,0,0,1,0,False
2016-09-25,79,0,0,1,0,False
2016-10-02,75,0,0,1,0,False
2016-10-09,69,0,0,1,0,False
2016-10-16,64,0,0,1,0,False
2016-10-23,69,0,0,1,0,False
2016-10-30,72,0,0,1,0,False
2016-11-06,100,0,0,1,0,False
2016-11-13,72,0,0,1,0,False
2016-11-20,65,0,0,1,0,False
2016-11-27,69,0,0,1,0,False
2016-12-04,75,0,0,1,0,False
2016-12-11,61,0,0,1,0,False
2016-12-18,67,0,0,1,0,False
2016-12-25,71,0,0,1,0,False
2017-01-01,72,0,0,1,0,False
2017-01-08,65,0,0,1,0,False
2017-01-15,75,0,0,1,0,False
2017-01-22,71,0,0,1,0,False
2017-01-29,73,0,0,1,0,False
2017-02-05,70,0,0,1,0,False
2017-02-12,74,0,0,1,0,False
2017-02-19,69,0,0,1,0,False
2017-02-26,62,0,0,1,0,False
2017-03-05,65,0,0,1,0,False
2017-03-12,63,0,0,1,0,False
2017-03-19,75,0,0,1,0,False
2017-03-26,69,0,0,1,0,False
2017-04-02,76,0,0,1,0,False
2017-04-09,83,0,0,1,0,False
2017-04-16,79,0,0,1,0,False
2017-04-23,73,0,0,1,0,False
