date,latest transfer news,latest ios update,latest world news,latest,latest android version,isPartial
2015-03-22,0,0,0,69,0,False
2015-03-29,1,0,0,74,0,False
2015-04-05,1,0,0,70,0,False
2015-04-12,1,0,0,68,0,False
2015-04-19,1,0,0,67,0,False
2015-04-26,1,0,0,72,0,False
2015-05-03,1,0,0,72,0,False
2015-05-10,1,0,0,69,0,False
2015-05-17,1,0,0,68,0,False
2015-05-24,2,0,0,68,0,False
2015-05-31,2,0,0,72,0,False
2015-06-07,2,0,0,73,0,False
2015-06-14,3,0,0,73,0,False
2015-06-21,3,0,0,73,0,False
2015-06-28,4,0,0,80,0,False
2015-07-05,4,0,0,83,0,False
2015-07-12,4,0,0,83,0,False
2015-07-19,4,0,0,80,0,False
2015-07-26,4,0,0,86,0,False
2015-08-02,4,0,0,82,0,False
2015-08-09,3,0,0,82,0,False
2015-08-16,4,0,0,81,0,False
2015-08-23,4,0,0,82,0,False
2015-08-30,4,0,0,81,0,False
2015-09-06,1,0,0,73,0,False
2015-09-13,0,0,0,74,1,False
2015-09-20,0,0,0,77,0,False
2015-09-27,0,0,0,74,0,False
2015-10-04,0,0,0,74,0,False
2015-10-11,0,0,0,75,0,False
2015-10-18,0,0,0,73,0,False
2015-10-25,0,0,0,72,0,False
2015-11-01,0,0,0,71,0,False
2015-11-08,0,0,0,70,0,False
2015-11-15,0,0,0,78,0,False
2015-11-22,0,0,0,76,0,False
2015-11-29,0,0,0,74,0,False
2015-12-06,0,0,0,75,0,False
2015-12-13,1,0,0,73,0,False
2015-12-20,1,0,0,77,1,False
2015-12-27,1,0,0,81,0,False
2016-01-03,2,0,0,81,0,False
2016-01-10,2,0,0,75,0,False
2016-01-17,2,0,0,75,0,False
2016-01-24,2,0,0,75,0,False
2016-01-31,1,0,0,75,0,False
2016-02-07,1,0,0,71,0,False
2016-02-14,1,0,0,74,0,False
2016-02-21,0,0,0,73,0,False
2016-02-28,0,0,0,73,0,False
2016-03-06,0,0,0,73,0,False
2016-03-13,0,0,0,73,0,False
2016-03-20,0,0,0,77,0,False
2016-03-27,0,0,0,76,0,False
2016-04-03,1,0,0,74,0,False
2016-04-10,0,0,0,75,0,False
2016-04-17,1,0,0,74,0,False
2016-04-24,1,0,0,75,0,False
2016-05-01,1,0,0,79,0,False
2016-05-08,1,0,0,81,0,False
2016-05-15,1,0,0,77,0,False
2016-05-22,2,0,0,79,0,False
2016-05-29,2,0,0,79,0,False
2016-06-05,3,0,0,82,0,False
2016-06-12,2,0,0,87,0,False
2016-06-19,2,0,0,87,0,False
2016-06-26,2,0,0,93,0,False
2016-07-03,3,0,0,97,0,False
2016-07-10,3,0,0,91,0,False
2016-07-17,3,0,0,94,0,False
2016-07-24,3,0,0,98,0,False
2016-07-31,3,0,0,95,0,False
2016-08-07,3,0,0,93,0,False
2016-08-14,2,0,0,92,0,False
2016-08-21,2,0,0,90,0,False
2016-08-28,3,0,0,89,0,False
2016-09-04,1,0,0,84,0,False
2016-09-11,0,0,0,85,0,False
2016-09-18,0,0,0,90,0,False
2016-09-25,0,0,0,92,0,False
2016-10-02,0,0,0,97,0,False
2016-10-09,0,0,0,90,0,False
2016-10-16,0,0,0,87,0,False
2016-10-23,0,0,0,88,0,False
2016-10-30,0,0,0,92,0,False
2016-11-06,0,0,0,99,0,False
2016-11-13,0,0,0,83,0,False
2016-11-20,0,0,0,84,0,False
2016-11-27,0,0,0,86,0,False
2016-12-04,0,0,0,89,0,False
2016-12-11,0,0,0,84,0,False
2016-12-18,1,0,0,85,0,False
2016-12-25,1,0,0,90,0,False
2017-01-01,1,0,0,86,0,False
2017-01-08,1,0,0,81,0,False
2017-01-15,1,0,0,81,0,False
2017-01-22,1,0,0,83,0,False
2017-01-29,1,0,0,84,0,False
2017-02-05,0,0,0,79,0,False
2017-02-12,0,0,0,85,0,False
2017-02-19,0,0,0,85,0,False
2017-02-26,0,0,0,76,0,False
2017-03-05,0,0,0,81,0,False
2017-03-12,0,0,0,78,0,False
2017-03-19,0,0,0,83,0,False
2017-03-26,0,0,0,82,0,False
2017-04-02,0,0,0,84,0,False
2017-04-09,0,0,0,82,0,False
2017-04-16,0,0,0,81,0,False
2017-04-23,0,0,0,83,0,False
2017-04-30,1,0,0,82,0,False
2017-05-07,1,0,0,76,0,False
2017-05-14,1,0,0,83,0,False
2017-05-21,1,0,0,89,0,False
2017-05-28,2,0,0,86,0,False
2017-06-04,2,0,0,92,0,False
2017-06-11,3,0,0,89,0,False
2017-06-18,3,0,0,93,0,False
2017-06-25,3,0,0,91,0,False
2017-07-02,5,0,0,96,0,False
2017-07-09,5,0,0,93,0,False
2017-07-16,5,0,0,94,0,False
2017-07-23,4,0,0,93,0,False
2017-07-30,4,0,0,95,0,False
2017-08-06,4,0,0,92,0,False
2017-08-13,4,0,0,93,0,False
2017-08-20,4,0,0,96,0,False
2017-08-27,7,0,0,97,0,False
2017-09-03,1,0,0,100,0,False
2017-09-10,0,0,0,91,0,False
2017-09-17,0,0,0,83,0,False
2017-09-24,0,0,0,79,0,False
2017-10-01,0,0,0,81,0,False
2017-10-08,0,0,0,81,0,False
2017-10-15,0,0,0,80,0,False
2017-10-22,0,0,0,79,0,False
2017-10-29,0,0,0,80,0,False
2017-11-05,0,0,0,78,0,False
2017-11-12,0,0,0,80,0,False
2017-11-19,0,0,0,79,0,False
2017-11-26,0,0,0,77,0,False
2017-12-03,0,0,0,79,0,False
2017-12-10,0,0,0,79,0,False
2017-12-17,1,0,0,80,0,False
2017-12-24,1,0,0,78,0,False
2017-12-31,2,0,0,82,0,False
2018-01-07,3,0,0,78,0,False
2018-01-14,5,0,0,84,0,False
2018-01-21,4,0,0,85,0,True
